_id,numero_pedido,usuario_id,restaurante_id,itens[0].prato_id,itens[1].prato_id,itens[2].prato_id,itens[3].prato_id,itens[4].prato_id,itens[0].nome,itens[1].nome,itens[2].nome,itens[3].nome,itens[4].nome,itens[0].quantidade,itens[1].quantidade,itens[2].quantidade,itens[3].quantidade,itens[4].quantidade,itens[0].preco_unitario,itens[1].preco_unitario,itens[2].preco_unitario,itens[3].preco_unitario,itens[4].preco_unitario,itens[0].preco_adicional,itens[1].preco_adicional,itens[2].preco_adicional,itens[3].preco_adicional,itens[4].preco_adicional,itens[0].observacoes,itens[1].observacoes,itens[2].observacoes,itens[3].observacoes,itens[4].observacoes,subtotal,taxa_entrega,desconto,valor_total,forma_pagamento.tipo,forma_pagamento.detalhes.bandeira,forma_pagamento.detalhes.ultimos_digitos,status_pagamento,tipo_pedido,endereco_entrega.rua,endereco_entrega.numero,endereco_entrega.complemento,endereco_entrega.bairro,endereco_entrega.cidade,endereco_entrega.estado,endereco_entrega.cep,endereco_entrega.coordenadas[0],endereco_entrega.coordenadas[1],status_pedido,historico_status[0].status,historico_status[1].status,historico_status[2].status,historico_status[3].status,historico_status[4].status,historico_status[0].data,historico_status[1].data,historico_status[2].data,historico_status[3].data,historico_status[4].data,historico_status[0].observacao,historico_status[1].observacao,historico_status[2].observacao,historico_status[3].observacao,historico_status[4].observacao,data_hora_pedido,data_hora_entrega_estimada,entregador.nome,entregador.telefone,avaliacao_id,cupom_id,observacoes,origem_pedido
683d8d06c709d34c0311e831,PED-20250310-000002,683d8d05c709d34c0311e359,683d8d05c709d34c0311e47c,683d8d05c709d34c0311e537,,,,,Electronic Metal Chair,,,,,1,,,,,77.9802165860471,,,,,0,,,,,Molestias quam alveus repudiandae illo speculum tamisium.,,,,,77.98,12.867829900363526,0,90.85,pix,Visa,8502,aprovado,delivery,Abernathy Keys,9502,Casa 3,Herefordshire,Lake Montanachester,MN,77734-119,-154.1243,28.2771,entregue,recebido,confirmado,em_preparo,a_caminho,entregue,2025-03-10T08:00:55.477Z,2025-03-10T10:09:02.279Z,2025-03-10T13:23:46.762Z,2025-03-10T18:44:16.420Z,2025-03-10T20:33:20.510Z,Pedido recebido,Confirmado pelo restaurante,Em preparo,Saiu para entrega,Entregue com sucesso,2025-03-10T08:00:55.477Z,2025-03-10T23:22:33.305Z,Jennyfer,383.859.0973 x606,683d8d06c709d34c0311ee78,,Infit civitas defungo voluptatibus coruscus suscipio pel.,app_mobile
683d8d06c709d34c0311e83f,PED-20240613-000016,683d8d05c709d34c0311e311,683d8d05c709d34c0311e493,683d8d05c709d34c0311e6e1,683d8d05c709d34c0311e6dd,683d8d05c709d34c0311e6db,,,Oriental Bronze Hat,Fantastic Ceramic Hat,Handmade Metal Ball,,,2,2,3,,,141.21824404776723,27.62857322631938,20.85860533074878,,,0,0,0,,,Corona vestigium molestiae avaritia maiores.,Alveus cunctatio cuius callide sumo deporto inventore truculenter.,Odit audax laboriosam verto tremo custodia argumentum abutor cervus.,,,400.27,4.525954813926306,0,404.8,pix,Visa,8784,pendente,retirada,Pollich Shoal,80690,Casa 5,Herefordshire,Port Alphonso,MT,18069-123,168.556,-11.2307,entregue,recebido,confirmado,em_preparo,a_caminho,entregue,2024-06-13T18:57:13.152Z,2024-06-13T19:20:33.939Z,2024-06-13T21:08:42.195Z,2024-06-14T00:36:46.612Z,2024-06-14T06:29:34.725Z,Pedido recebido,Confirmado pelo restaurante,Em preparo,Saiu para entrega,Entregue com sucesso,2024-06-13T18:57:13.152Z,2024-06-14T05:00:35.220Z,Piper,752.513.2645 x620,683d8d06c709d34c0311eedf,,Clarus ulciscor thymbra ascisco aggero compono ullam amicitia.,app_mobile
683d8d06c709d34c0311e840,PED-20240815-000017,683d8d05c709d34c0311e2cd,683d8d05c709d34c0311e495,683d8d05c709d34c0311e6fb,683d8d05c709d34c0311e6fd,683d8d05c709d34c0311e6fc,,,Practical Steel Towels,Gorgeous Steel Gloves,Recycled Aluminum Mouse,,,2,3,1,,,91.74009919904266,59.64723394874094,140.35267632691793,,,0,0,0,,,Eum compono decor uxor vulticulus vallum amplus depono cupio.,Vomica ratione solio quia absens.,Volutabrum iste odio iure teneo suffoco reprehenderit voluptates crapula.,,,502.77,13.136508743549966,0,515.91,cartao_debito,Visa,4106,recusado,delivery,Conroy Bypass,302,,North Yorkshire,Fort Garfieldfort,AR,01043-357,-35.3285,-12.1907,em_preparo,recebido,confirmado,em_preparo,,,2024-08-15T20:48:27.326Z,2024-08-15T22:07:37.751Z,2024-08-16T00:53:24.450Z,,,Pedido recebido,Confirmado pelo restaurante,Em preparo,,,2024-08-15T20:48:27.326Z,2024-08-15T22:50:06.080Z,Nikko,(531) 809-9689 x22246,,,Possimus repudiandae crustulum possimus verbera asporto aestivus sumo complectus cognomen.,website
683d8d06c709d34c0311e847,PED-20240925-000024,683d8d05c709d34c0311e476,683d8d05c709d34c0311e49a,683d8d05c709d34c0311e757,683d8d05c709d34c0311e752,683d8d05c709d34c0311e759,683d8d05c709d34c0311e755,,Refined Gold Towels,Fresh Gold Keyboard,Bespoke Gold Car,Ergonomic Silk Computer,,3,1,1,3,,145.1287133698428,113.9561245198779,134.00930951815516,114.12740931435911,,0,0,0,0,,Varietas alo angulus strenuus delibero audax volaticus.,Antiquus claudeo ventito officiis aufero desino.,Desolo crapula amplus usus adulatio depromo tredecim tabernus vomica.,Catena repudiandae libero arceo sunt pauper atavus nemo suasoria constans.,,1025.73,10.193338782534449,0,1035.93,cartao_credito,Visa,0652,recusado,retirada,Hilll Centers,788,Apto 136,West Yorkshire,Lake Olliefield,IN,12549-874,-96.1317,48.6658,entregue,recebido,confirmado,em_preparo,a_caminho,entregue,2024-09-25T17:02:18.056Z,2024-09-25T17:55:20.709Z,2024-09-25T20:13:49.244Z,2024-09-25T20:22:58.027Z,2024-09-26T01:15:17.195Z,Pedido recebido,Confirmado pelo restaurante,Em preparo,Saiu para entrega,Entregue com sucesso,2024-09-25T17:02:18.056Z,2024-09-26T08:52:32.314Z,Anahi,1-967-462-8225 x44540,,,Texo arcus enim alioqui volaticus decor.,app_mobile
683d8d06c709d34c0311e84b,PED-20241007-000028,683d8d05c709d34c0311e45f,683d8d05c709d34c0311e493,683d8d05c709d34c0311e6d3,683d8d05c709d34c0311e6d9,,,,Intelligent Bronze Mouse,Handcrafted Marble Fish,,,,1,2,,,,134.22398051525937,72.99334791971926,,,,0,0,,,,Sum decretum trepide tergeo censura civitas curto appono cibo sulum.,Paens deserunt eligendi totam unde.,,,,280.21,6.81113685593144,0,287.02,dinheiro,Visa,8915,recusado,retirada,Marjorie Parks,319,Apto 96,Morgan County,Rosenbaumhaven,NV,38236-325,-72.1815,30.9197,entregue,recebido,confirmado,em_preparo,a_caminho,entregue,2024-10-08T00:53:44.154Z,2024-10-08T02:26:33.911Z,2024-10-08T03:21:02.435Z,2024-10-08T08:54:12.234Z,2024-10-08T14:36:50.614Z,Pedido recebido,Confirmado pelo restaurante,Em preparo,Saiu para entrega,Entregue com sucesso,2024-10-08T00:53:44.154Z,2024-10-08T12:33:04.602Z,Marjorie,520.282.1100 x129,683d8d06c709d34c0311ef42,,Tumultus utrum fugiat cattus.,telefone
683d8d06c709d34c0311e84d,PED-20250504-000030,683d8d05c709d34c0311e431,683d8d05c709d34c0311e4a4,683d8d06c709d34c0311e7ec,683d8d06c709d34c0311e7e6,,,,Handcrafted Metal Shirt,Incredible Granite Chair,,,,1,3,,,,133.37956219228408,24.29241465042613,,,,0,0,,,,Cura soleo praesentium crur tibi.,Deinde cursus autem aro.,,,,206.26,4.666737851577621,0,210.92,pix,Visa,6691,recusado,delivery,Imogene Brook,2055,,Greater Manchester,Lake Elsinore,ND,01443-034,132.5246,-75.5642,entregue,recebido,confirmado,em_preparo,a_caminho,entregue,2025-05-04T11:57:19.477Z,2025-05-04T12:42:40.050Z,2025-05-04T16:16:50.054Z,2025-05-04T19:16:26.457Z,2025-05-05T00:55:11.479Z,Pedido recebido,Confirmado pelo restaurante,Em preparo,Saiu para entrega,Entregue com sucesso,2025-05-04T11:57:19.477Z,2025-05-04T20:57:13.650Z,Flo,772.543.6640,683d8d06c709d34c0311eeab,,Quis cultura commodi acer suscipio.,telefone
683d8d06c709d34c0311e84f,PED-20241128-000032,683d8d05c709d34c0311e3dd,683d8d05c709d34c0311e484,683d8d05c709d34c0311e5d1,683d8d05c709d34c0311e5c7,683d8d05c709d34c0311e5ca,683d8d05c709d34c0311e5cd,,Awesome Ceramic Shirt,Oriental Gold Soap,Soft Bronze Tuna,Recycled Bamboo Ball,,2,2,1,1,,77.7529441276643,31.80245338638145,68.58159628735572,6.17802779859665,,0,0,0,0,,Earum ascit demens curtus alo deleo summopere.,Tergo degusto cariosus campana conculco bellum.,Tantillus vito cura creta tondeo inflammatio desolo cuppedia.,Bestia culpa socius audeo celo atqui contra bellicus conspergo.,,293.87,3.5788023336250108,0,297.45,dinheiro,Visa,3026,aprovado,delivery,Steuber Isle,6609,Apto 132,Hamilton County,Xzaviertown,MS,58201-722,8.9522,-29.055,em_preparo,recebido,confirmado,em_preparo,,,2024-11-28T12:28:15.879Z,2024-11-28T13:23:03.483Z,2024-11-28T16:25:44.518Z,,,Pedido recebido,Confirmado pelo restaurante,Em preparo,,,2024-11-28T12:28:15.879Z,2024-11-29T11:59:58.644Z,Zakary,1-619-583-0227 x795,,,Officiis aestas sol culpa ater culpo calculus cursus aperiam victus.,website
683d8d06c709d34c0311e852,PED-20240914-000035,683d8d05c709d34c0311e463,683d8d05c709d34c0311e4a7,683d8d06c709d34c0311e817,683d8d06c709d34c0311e81f,,,,Fantastic Concrete Cheese,Licensed Wooden Chicken,,,,3,2,,,,134.45010803675098,95.32709562980011,,,,0,0,,,,Dedecor mollitia impedit arma.,Tamquam eum suadeo.,,,,594,1.9976747281058937,0,596,cartao_debito,Visa,0874,recusado,retirada,Heidenreich Cliff,267,Apto 176,Northamptonshire,West Delia,IA,59518-087,-60.1898,-0.1513,entregue,recebido,confirmado,em_preparo,a_caminho,entregue,2024-09-14T16:40:54.332Z,2024-09-14T17:30:23.527Z,2024-09-14T20:29:55.524Z,2024-09-15T01:20:18.907Z,2024-09-15T09:29:15.060Z,Pedido recebido,Confirmado pelo restaurante,Em preparo,Saiu para entrega,Entregue com sucesso,2024-09-14T16:40:54.332Z,2024-09-14T22:02:31.394Z,Reinhold,483.332.4351,683d8d06c709d34c0311eece,,Acerbitas vulgivagus angustus.,website
683d8d06c709d34c0311e857,PED-20240722-000040,683d8d05c709d34c0311e3f7,683d8d05c709d34c0311e4a5,683d8d06c709d34c0311e7fb,683d8d06c709d34c0311e7f5,683d8d06c709d34c0311e7f9,,,Fantastic Concrete Chair,Modern Bamboo Chair,Fresh Cotton Tuna,,,2,2,1,,,129.67508435666457,29.757768546474296,33.410918232465875,,,0,0,0,,,Voluptates confugo celer cultura vigilo verecundia totus cupio suus expedita.,Terminatio accusamus surgo terga.,Arceo vero alter.,,,352.28,2.831105303998579,0,355.11,pix,Visa,1764,recusado,retirada,Weimann Glens,2960,Casa 4,Carroll County,Verlieburgh,KS,95829-548,-114.0129,-88.463,entregue,recebido,confirmado,em_preparo,a_caminho,entregue,2024-07-22T20:16:28.017Z,2024-07-22T21:36:06.228Z,2024-07-22T22:28:43.672Z,2024-07-23T03:19:42.440Z,2024-07-23T06:33:15.957Z,Pedido recebido,Confirmado pelo restaurante,Em preparo,Saiu para entrega,Entregue com sucesso,2024-07-22T20:16:28.017Z,2024-07-23T01:35:58.589Z,Zoie,542-674-3010,683d8d06c709d34c0311ee67,,Caries vesica tui.,app_mobile
683d8d06c709d34c0311e859,PED-20240713-000042,683d8d05c709d34c0311e2c3,683d8d05c709d34c0311e486,683d8d05c709d34c0311e5ec,683d8d05c709d34c0311e5e9,683d8d05c709d34c0311e5f0,683d8d05c709d34c0311e5e6,,Bespoke Silk Keyboard,Elegant Ceramic Gloves,Generic Cotton Hat,Small Cotton Pizza,,3,3,3,3,,50.268952285401234,69.25819719145855,55.52755919186734,36.00563687746585,,0,0,0,0,,Cupiditas congregatio aequitas.,Tabgo agnitio cursus tripudio allatus absconditus.,Synagoga attonbitus creber.,Virgo eius cupio certus clementia patior.,,633.18,3.120984266738016,0,636.3,cartao_credito,Visa,2923,aprovado,delivery,Michaela Shoals,976,Casa 1,Nottinghamshire,Kesslerland,MN,65214-584,-88.9515,62.1522,entregue,recebido,confirmado,em_preparo,a_caminho,entregue,2024-07-13T14:27:32.034Z,2024-07-13T14:53:45.899Z,2024-07-13T15:54:05.005Z,2024-07-13T20:37:53.388Z,2024-07-14T02:37:43.645Z,Pedido recebido,Confirmado pelo restaurante,Em preparo,Saiu para entrega,Entregue com sucesso,2024-07-13T14:27:32.034Z,2024-07-14T05:59:30.112Z,Guido,859-472-9071,,,Molestiae amiculum cohors.,telefone
