_id,nome,email,senha,telefone,data_nascimento,endereco.rua,endereco.numero,endereco.complemento,endereco.bairro,endereco.cidade,endereco.estado,endereco.cep,endereco.coordenadas[0],endereco.coordenadas[1],preferencias_alimentares[0],preferencias_alimentares[1],preferencias_alimentares[2],restricoes_dieteticas[0],restricoes_dieteticas[1],data_cadastro,ultima_atualizacao,status
683d8d05c709d34c0311e28b,Hannah Nicolas,josiane25@gmail.com,8nINTEVDVfsu006,960.203.6892 x19700,1986-02-25T09:02:17.662Z,Huel Rue,48430,Apto 136,Clay County,Lake Stephanburgh,AR,06403-837,-102.6771,-49.9062,sem glúten,,,camarão,lactose,2024-05-12T16:16:10.748Z,2025-03-09T09:01:28.190Z,ativo
683d8d05c709d34c0311e28f,Derek Beahan,stanley.hagenes-macgyver91@gmail.com,mu7GVi4A9wz9uQ0,1-628-812-5335 x6158,1986-10-16T06:05:30.609Z,Simeon Extensions,7607,Apto 110,Calhoun County,West Filomena,MT,62687-947,154.5015,32.0261,,,,,,2024-08-08T20:32:41.555Z,2025-05-24T04:09:43.687Z,ativo
683d8d05c709d34c0311e295,Debbie Cruickshank,myah.conn@yahoo.com,inSe5F2t2S0oIYj,607.826.5129 x7904,1974-10-21T15:48:12.954Z,Lime Grove,12654,,Greater Manchester,South Josiah,KY,11965-139,75.8173,83.4619,,,,camarão,,2023-09-17T03:29:09.890Z,2025-05-13T16:40:18.804Z,ativo
683d8d05c709d34c0311e2a2,Josefina Wiza,ibrahim_maggio@gmail.com,I7FH0lIDTuoXbVr,977-776-1317,1981-03-06T15:52:40.673Z,South Drive,84311,Casa 2,County Antrim,Alpharetta,CT,09389-385,49.8095,-44.4608,,,,lactose,,2024-11-25T04:55:24.998Z,2025-05-09T07:16:57.980Z,ativo
683d8d05c709d34c0311e2a4,Karla Moen,vinnie_keeling33@hotmail.com,4iHPbBaGgt3qxoA,1-740-228-8582 x550,1993-04-01T03:58:12.981Z,Dessie Cliffs,5086,,Gwent,North Skyeland,NC,85959-373,75.7988,33.268,sem glúten,,,camarão,lactose,2024-01-15T01:16:11.868Z,2025-04-20T07:34:40.135Z,ativo
683d8d05c709d34c0311e2ac,Josefina Swaniawski,eriberto55@yahoo.com,LuR6fQdT3RV6a2p,264-334-7671 x7651,1997-12-16T04:05:03.105Z,E Main,69346,Casa 4,Isle of Wight,Fort Elmofield,NC,98449-178,151.2375,49.5791,sem glúten,,,lactose,,2023-08-10T07:10:41.122Z,2025-05-12T05:58:13.792Z,ativo
683d8d05c709d34c0311e2af,Rosemary Wisozk II,shyann_dibbert@gmail.com,7QJw9tKJ3n8ThtC,505.679.7774 x0069,1976-07-27T14:17:37.445Z,N 8th Street,6081,Casa 1,Lothian,North Boris,UT,80589-490,88.7041,44.289,carnes,frutos do mar,sem glúten,amendoim,,2024-03-25T09:24:24.182Z,2025-03-14T14:35:22.071Z,ativo
683d8d05c709d34c0311e2b1,Dr. Herman Schaefer,cecilia_ebert@yahoo.com,pN3BViwvKB56srv,674-775-9422 x789,1999-04-01T01:49:29.157Z,Jodie Hill,9596,Casa 5,Greater Manchester,Micahstead,CO,84408-481,-177.2595,-7.0423,,,,glúten,,2024-06-20T23:29:10.629Z,2025-04-30T03:01:21.912Z,inativo
683d8d05c709d34c0311e2b2,Garrett Reynolds,dillan.keeling12@hotmail.com,fxXNAZSEayNRBrr,336-672-2931 x3096,1972-03-30T11:43:56.189Z,Darrion Street,4147,Casa 1,Warwickshire,Port Mervinborough,TX,81119-788,-179.3093,-58.4792,massas,vegetariano,comida japonesa,,,2025-02-28T12:34:26.811Z,2025-05-14T10:26:44.069Z,ativo
683d8d05c709d34c0311e2b3,Jared Baumbach,angelo_harvey66@yahoo.com,55Dm6uxMB2HwhTf,1-560-727-6297,1962-08-13T04:10:39.585Z,Jerrell Mission,788,,Central,Corpus Christi,GA,37776-446,-101.1197,55.8612,frutos do mar,,,lactose,,2024-02-19T03:24:07.850Z,2025-04-13T02:49:22.555Z,inativo
683d8d05c709d34c0311e2b8,Lynda Lehner,nelson.cartwright27@hotmail.com,UH17pQFHaaIjX_N,(390) 525-2487 x38119,1971-02-16T18:29:11.952Z,Blanda Knolls,179,Apto 49,Durham,Port Alport,IA,12714-841,-107.6209,62.679,frutos do mar,sem glúten,comida japonesa,glúten,lactose,2025-04-20T03:24:45.783Z,2025-04-02T10:55:21.522Z,ativo
683d8d05c709d34c0311e2ba,Lucia Lynch-Hahn,holly_bergnaum@hotmail.com,5Vxk_B1_rRPJscv,(392) 463-8649 x14623,1977-03-16T15:17:57.209Z,Terry Flat,983,Casa 5,County Tyrone,Wiegandberg,MT,09916-363,48.975,-16.5079,frutos do mar,comida japonesa,,,,2024-04-03T02:51:34.782Z,2025-05-13T07:56:06.988Z,inativo
683d8d05c709d34c0311e2bb,Darrell Cole MD,waino13@gmail.com,trr1R8rEAduFos5,(765) 456-6649 x2382,1977-02-19T22:27:07.635Z,Scotty Estates,14295,,Cleveland,Ankundingfort,CA,82637-515,162.7479,-36.023,comida japonesa,massas,,,,2024-08-25T09:02:44.977Z,2025-05-04T19:29:07.491Z,ativo
683d8d05c709d34c0311e2bc,Mr. Melvin Torphy,alda_friesen@gmail.com,fnIwoyZLjWaMyqX,(512) 255-2146 x815,1989-10-02T17:33:44.898Z,West View,44418,Apto 31,County Antrim,Uniqueton,CO,37448-754,115.302,-89.9363,,,,amendoim,camarão,2024-12-29T17:33:50.768Z,2025-03-30T10:40:08.381Z,ativo
683d8d05c709d34c0311e2bf,Alvin Brakus,aletha_franecki53@yahoo.com,DB1j5tkX9OsS2BG,284-571-6225 x980,1983-11-27T16:54:52.139Z,Meadow Drive,627,Apto 95,Wayne County,Brandonshire,CO,42225-845,38.4139,-87.3933,massas,carnes,,lactose,amendoim,2024-12-17T20:13:41.752Z,2025-04-27T22:53:03.961Z,ativo
683d8d05c709d34c0311e2c4,Francis Feil,pascale94@gmail.com,Rs1_PprfOrLMVvo,1-798-548-6863 x693,1992-02-14T20:28:53.355Z,Hills Lights,8185,,Perry County,East Polly,IN,88909-971,27.3202,44.0969,massas,,,camarão,lactose,2025-05-02T20:59:37.288Z,2025-05-16T17:55:32.253Z,ativo
683d8d05c709d34c0311e2c6,Geoffrey Collier,liam.heller@yahoo.com,YSOFkynaC6X23Te,1-736-885-3416 x45343,1983-01-07T23:47:50.719Z,Sonya Parkways,848,Apto 189,Madison County,New Isaiah,VA,95498-541,-142.1019,89.5458,sem glúten,carnes,,glúten,,2024-07-05T13:00:48.990Z,2025-03-30T20:32:51.165Z,ativo
683d8d05c709d34c0311e2c9,Antonio Mraz,jackson_mitchell@hotmail.com,D8cXA_KmZCiRBHT,782.359.5896 x47520,1974-01-29T03:06:36.231Z,Hipolito Forks,13832,Apto 18,County Armagh,Kayworth,OR,67184-242,153.0891,-21.4996,comida japonesa,,,amendoim,camarão,2024-02-24T03:19:26.758Z,2025-04-17T18:01:46.468Z,ativo
683d8d05c709d34c0311e2cb,Miss Angelica Hand,luther40@hotmail.com,9Htjq1QpUln94BN,863.476.7239 x464,1990-04-03T06:03:30.187Z,Kiehn Squares,874,Casa 2,Lothian,Hegmannberg,NH,79020-997,-41.2356,51.645,,,,,,2025-02-18T17:18:35.396Z,2025-04-27T04:51:11.352Z,ativo
683d8d05c709d34c0311e2ce,Perry Hilll IV,torrance14@yahoo.com,a1ZtiOWazRCO4Yf,(623) 648-9972 x5977,2000-03-16T14:10:43.570Z,Frieda Squares,1391,,Carroll County,North Damienstead,MA,18474-874,-114.7402,58.5199,vegetariano,comida japonesa,frutos do mar,lactose,amendoim,2023-12-06T09:39:38.515Z,2025-05-04T21:09:09.119Z,ativo
683d8d05c709d34c0311e2cf,Ruby Purdy,eileen.carter@yahoo.com,JYPjYJ7t639f_R_,351-782-2761 x193,1972-02-29T06:03:55.969Z,Opal Neck,595,,Avon,Cecilebury,KY,50553-949,-7.3084,34.7128,massas,frutos do mar,vegetariano,glúten,,2024-06-21T11:55:18.641Z,2025-03-14T16:11:29.380Z,ativo
683d8d05c709d34c0311e2d3,Dana Prohaska,jedidiah73@gmail.com,F81ZwJxdoBEVHhg,(964) 209-0375 x9328,1999-06-08T01:54:45.351Z,Abshire Freeway,394,Casa 3,Lake County,Fort Tremayne,KS,28572-372,-32.5602,-24.7085,,,,,,2023-06-04T20:31:17.453Z,2025-05-29T18:41:37.435Z,ativo
683d8d05c709d34c0311e2d4,Jerald Boyle,karlee9@hotmail.com,5wNLO_VDiYLWG74,(775) 377-5153 x21119,1997-04-17T01:53:09.050Z,Roberts Garden,6921,,Tyne and Wear,Larkinburgh,PA,60559-762,60.2659,18.6771,frutos do mar,carnes,vegetariano,amendoim,camarão,2023-12-30T17:20:03.512Z,2025-03-14T22:58:22.497Z,ativo
683d8d05c709d34c0311e2d7,Roxanne Herzog,lura72@hotmail.com,5tu5U7svTYpoLLi,1-761-693-2252 x36585,1969-01-22T17:12:00.836Z,Devonshire Road,68581,Casa 5,Dumfries and Galloway,Juliochester,CA,66210-865,89.0201,-18.6762,vegetariano,,,,,2024-05-16T06:47:52.639Z,2025-05-21T09:05:50.557Z,inativo
683d8d05c709d34c0311e2d8,Dr. Beverly Crona,antoinette_stokes@hotmail.com,aSwweHO1US_Xpq1,(897) 389-2994 x009,1979-12-11T15:34:37.801Z,Springfield Close,38553,Casa 5,Berkshire,Tianacester,TX,90506-162,-77.6966,-58.9415,sem glúten,massas,,glúten,,2024-08-29T02:09:58.093Z,2025-03-20T20:54:28.009Z,ativo
683d8d05c709d34c0311e2da,Shirley Lindgren,gladyce_franecki@gmail.com,NkPy90jYO00SlvZ,(933) 802-1278 x8280,2002-01-02T08:19:11.722Z,MacGyver Stravenue,4882,,County Down,Santastad,IA,95465-912,163.2284,-16.6359,,,,amendoim,lactose,2024-08-16T17:35:14.365Z,2025-04-03T01:01:27.810Z,ativo
683d8d05c709d34c0311e2dc,Ms. Beulah Marquardt,griffin89@hotmail.com,BXrOdDV2bc_XlOt,(563) 481-4310 x156,1962-11-06T10:29:01.759Z,Lesch Plain,6951,Apto 166,Suffolk,Eau Claire,NE,66442-875,101.425,73.6306,carnes,massas,,camarão,,2024-11-08T15:42:11.065Z,2025-04-07T04:00:04.656Z,ativo
683d8d05c709d34c0311e2df,Kellie Wiegand,bridie.wilderman@hotmail.com,r9ML7SECtQdvtq6,(481) 361-5013 x8263,1982-12-22T04:12:25.180Z,Davis Alley,21773,,Grant County,Runolfssonfield,WY,32887-324,-38.9706,-46.15,massas,,,glúten,,2024-09-05T03:16:25.612Z,2025-05-01T21:05:59.215Z,ativo
683d8d05c709d34c0311e2e5,Mona Wiegand,zackary.kling38@hotmail.com,84meuUHD7PJ8T0f,(941) 503-2513 x06408,1959-09-04T13:13:44.953Z,Marilou Lakes,1791,,Pike County,North Emie,NY,28620-765,111.5267,71.3856,vegetariano,frutos do mar,comida japonesa,lactose,camarão,2024-03-11T00:42:35.731Z,2025-04-08T20:24:07.695Z,ativo
